BemisCode,SessionId,SchoolName,District,Tehsil,SubTehsil,UC,WardName,WardNo,VillageName,NA,PA,ClusterBemiscode,ClusterName,ClusterDDOCode,SchoolContactNo,ClusterFeedingSchoolsPrimary,ClusterFeedingSchoolsMiddle,Location,Zone,Shift,Gender,SchoolLevel,FunctionalStatus,ReasonOfNonFunctional,DisableStudentsInSchool,IfYesThenMentionFacilities,RampforStudentsOrTeachers,Building,SchoolOwnedBy,BuildingStructure,BuildingCondition,SpaceForNewRooms,NoOfRoomsWithWindowsAndVantilation,ProperSeverageSystem,WaterFacilityInToilets,BoundaryWall,BoundaryWallStructure,BoundaryWallCondition,PlayGround,ElectricityInArea,ElectricityInSchool,IfYesThenNametheSourceElectricity,IfNoThenGiveTheDistanceOfNearestPoll,GasInArea,GasInSchool,IfYesThenNametheSourceGas,GovtDrinkingWaterScheme,DrinkingWaterAtSchool,SourceOfWater,WaterTank,IfNoThenGiveTheDistanceOfNearestWaterSource,TelephoneAvailabe,FunctionStatusTelephone,ClosedReasonTelephone,InternetAvailabe,FunctionStatusInternet,ClosedReasonInternet,ScienceLab,FunctionStatusScienceLab,ClosedReasonScienceLab,ComputerLab,LibraryAvailable,CleaningResponsibility,WashbasinAvailable,WaterforWashBasin,SoapForWashBasin,CleaningCycleOfWashBasin,TeacherUsesTeachingMeterialOnHealth,MajorDiseaseCauseForAbsentism,FirstaidKit,TrainingOnFirstAidKit,InspectionOfCleaning,SeprateRoomForECE,FullTimeTeacherForECE,TrendExtraCracularActivity,Activity1,AudioAndVideoEquipment,TeacherUsesAudioAndVideoEquipment,TrainingOnMHMKits,MHMKitsAtSchool,PTSMC,PTSMCParticipatedInAnyActivityCurrentYear,NumberOfMeetingsConducted,MeetingRecordesAvailable,ChildOfPTSMCMembersAreEnrolled,AnySDPFormPTSMCLast3Years,ExaminationHall,NumberOfVisitByEducationalManager,Kacha Room,Pakka Room,Kacha HMR,Pakka HMR,Kacha Clerk Office,Pakka Clerk Office,Kacha Hall,Pakka Hall,Kacha Staff Room,Pakka Staff Room,Kacha Guard Room,Pakka Guard Room,Kacha Toilet,Pakka Toilet,KachaSportsRoom,PakkaSportsRoom,KachaResourceCenter,PakkaResourceCenter,KBSch,KBSt,KGSch,KGSt,PBSch,PBSt,PGSch,PGSt,2BSch,2BSt,2GSch,2GSt,3BSch,3BSt,3GSch,3GSt,4BSch,4BSt,4GSch,4GSt,5BSch,5BSt,5GSch,5GSt,6BSch,6BSt,6GSch,6GSt,7BSch,7BSt,7GSch,7GSt,8BSch,8BSt,8GSch,8GSt,9BSch,9BSt,9GSch,9GSt,10BSch,10BSt,10GSch,10GSt,11BSch,11BSt,11GSch,11GSt,12BSch,12BSt,12GSch,12GSt,TotalSchoolProfileStudents,TotalStudentProfileEntered,SencTeaching,AppTeaching,Teaching Male,Teaching Female,TotalTeachingStaff,SencNonTeaching,AppNonTeaching,Nonteaching Male,Nonteaching Female,TotalNonTeachingStaff,Source,_xCord,_yCord
01001,9,GBMIDS SASSAN MANNA,ZIARAT,ZIARAT,ZIARAT,MANNA ,SASAN MANNA,01,SASSAN MANA,263,7,01003,GBHS MASORY MANNA,,03338133944,,,Rural,Winter,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,8,No,No,Yes,Pakka,Need Repair,No,No,No,,100|m,No,No,,No,No,Well,No,250|m,No,,,No,,,No,,,No,No,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,Yes,Yes,,,Yes,Yes,,No,Yes,No,No,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,22,5,5,6,6,0,0,10,10,0,0,6,6,2,2,0,0,0,0,5,5,0,0,7,6,0,1,7,7,0,0,6,6,1,1,,0,,0,,0,,0,,0,,0,,0,,0,77,77,7,7,7,0,7,2,2,2,0,2,EMIS,30.42792759,67.77596591
01002,9,GBPS SHARQUI SASSAN MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,SASAN MANNA,01,SHARKI SASSAN MANNA,263,7,01003,GBHS MASOORI MANNA,,03332592916,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Mix,Satisfactory ,Yes,1,Yes,No,No,,,No,No,No,,100|m,No,No,,Yes,No,Chashme,No,|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,3,2,0,1,1,1,2,2,1,1,2,2,1,1,1,1,0,0,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,22,22,1,1,1,0,1,,,0,0,0,RTSM,30.4360195,67.76673513
01003,9,GBHS MASORY MANA,ZIARAT,ZIARAT,ZIARAT ,MANNA ,Gharat Manna,1,MASORY MANA,263,7,,,ZT7084,0343 8137877,7,1,Rural,Winter,Single Shift,Boys,High,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,7,,No,No,,,No,Yes,No,,50|m,Yes,No,,No,No,Nothing,Yes,1|km,No,,,No,,,No,,,No,No,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,,,,,,No,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,38,20,20,18,18,8,7,14,14,17,17,14,14,12,13,15,15,9,9,13,12,5,5,19,19,6,6,10,10,4,4,7,7,3,3,,0,,0,,0,,0,,0,,0,,0,,0,233,231,14,10,10,0,10,3,3,4,0,4,EMIS,30.46914576,67.7310797
01004,9,GBPS GHARAT MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,GHARAT MANNA,01,GHARAT MANNA,263,7,01003,GBHS MASOORI MANNA,,03337946346,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Mix,Satisfactory ,Yes,2,Yes,No,Yes,Mix,Need Repair,No,Yes,No,,50|m,Yes,No,,No,No,Nothing,No,1|km,,,,,,,,,,,,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,,No,No,,,No,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,7,7,5,5,3,3,2,2,5,5,6,5,3,3,5,4,0,1,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,52,52,2,2,2,0,2,,,0,0,0,EMIS,30.46139318,67.7442621
01005,9,GBPS GHARAT MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,MARAI MANNA,01,GHARAT MANA,263,7,01003,GBHS MASOORI MANNA,,03337946346,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,Yes,Yes,Donated,Pakka,Need Repair,Yes,2,No,No,Yes,Pakka,Need Repair,Yes,Yes,No,,1|km,No,No,,No,No,Tubewell,No,000|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,,Yes,Yes,,,No,,,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,18,18,2,2,2,0,2,,,0,0,0,EMIS,30.45928423,67.73807569
01006,9,GBPS MALKANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,MANNA ,3,MALKANA MANNA,263,7,01003,GBHS MASORI MANNA,,03337087278,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,3,No,No,No,,,No,No,No,,15|km,No,No,,No,No,Nothing,Yes,10|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,12,7,7,8,8,1,1,4,4,5,5,5,5,8,8,1,1,11,11,2,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,73,73,2,3,2,0,2,,,0,0,0,EMIS,30.46155208,67.73482065
01007,9,GBPS AHMED ABAD MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,MANNA,02,AHMED ABAD MANNA ,263,7,01072,GBHS MANNA,,0000,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,No,2,No,No,No,,,No,Yes,No,,2|km,No,No,,No,No,Nothing,Yes,1|km,,,,,,,,,,,,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,,Yes,Yes,,,Yes,Yes,,No,Yes,No,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,6,6,4,4,4,4,4,4,1,1,2,2,1,1,2,2,2,2,7,7,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,49,49,3,3,3,0,3,,,0,0,0,RTSM,30.47219026,67.71864689
01008,9,GBPS DAWAT MANA,ZIARAT,ZIARAT,ZIARAT ,MANNA ,MANNA ,3,DAWAT MANA,263,7,01072,GBHS MANNA,,03318118049,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,Yes,Pakka,Need Repair,No,No,No,,300|m,No,No,Gas Cylendar,No,No,Tubewell,No,700|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,Yes,No,No,Yes,No,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,10,7,7,11,11,8,8,13,13,2,2,12,12,1,1,10,9,2,2,3,3,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,80,79,2,3,2,0,2,,,0,0,0,EMIS,30.47739993,67.70174085
01009,9,GBPS KOZ KARAIZ MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,MANNA,01,KOZE KARAIZ MANA,263,7,01072,GBHS MANNA,,03342794337,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,No,2,No,No,Yes,Pakka,Complete,No,Yes,No,,02|km,Yes,No,,No,No,Well,Yes,00|km,,,,,,,,,,,,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,5,6,4,1,0,0,3,3,0,0,,0,,0,3,3,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,21,21,2,2,2,0,2,,,0,0,0,EMIS,30.46818144,67.72626203
01010,9,GBPS KOZ KARAIZ MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,MANNA,01,KOZE LANDI MANNA,263,7,01072,GBHS MANNA,,03342794337,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,Yes,Pakka,Complete,No,Yes,No,,50|m,Yes,No,,No,No,Nothing,Yes,800|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,No,,No,No,,,Yes,No,,No,Yes,No,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,4,4,5,5,3,3,5,5,0,0,3,3,2,2,2,2,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,30,30,2,2,2,0,2,,,0,0,0,EMIS,30.47163763,67.72323308
